DATE,TMAX_AV_ALL,TMIN_AV_ALL,ERCOT
4/30/18,82,63.66666667,906941.6171
5/1/18,84.77777778,71.11111111,949213.7711
5/2/18,89.33333333,73.66666667,1033059.733
5/3/18,87.11111111,71.77777778,1019237.031
5/4/18,80.33333333,67,918901.8203
5/5/18,85.33333333,62.77777778,883009.4092
5/6/18,89.44444444,61,914225.3624
5/7/18,91.22222222,62.55555556,1022173.856
5/8/18,90.66666667,65.33333333,1031708.004
5/9/18,89.77777778,66.11111111,1026425.815
5/10/18,89.88888889,66.66666667,1031335.02
5/11/18,91.33333333,70.77777778,1066358.312
5/12/18,92.33333333,72.66666667,1066312.78
5/13/18,92.33333333,74,1071848.314
5/14/18,91.22222222,74.11111111,1135663.755
5/15/18,92.55555556,71,1115737.975
5/16/18,95.44444444,68.88888889,1129050.353
5/17/18,96,69,1167855.713
5/18/18,95.66666667,71.33333333,1179674.874
5/19/18,92.88888889,74.11111111,1117384.921
5/20/18,87.33333333,69.77777778,992536.1724
5/21/18,88.88888889,68.22222222,1030927.215
5/22/18,90.11111111,70.55555556,1094903.978
5/23/18,90.66666667,71.66666667,1110895.225
5/24/18,92.11111111,71.66666667,1146451.673
5/25/18,94.88888889,73.66666667,1155062.405
5/26/18,97.66666667,72.44444444,1153563.027
5/27/18,97.77777778,74,1158807.614
5/28/18,96.44444444,73.66666667,1195390.317
5/29/18,97.33333333,73.11111111,1256668.199
5/30/18,97.44444444,75.33333333,1265811.453
5/31/18,98.11111111,76.11111111,1278915.287
6/1/18,99.11111111,77.66666667,1293044.461
6/2/18,99.11111111,77.22222222,1280931.411
6/3/18,97.33333333,75.88888889,1208287.979
6/4/18,93.44444444,73.33333333,1142935.209
6/5/18,99.22222222,75.11111111,1249051.972
6/6/18,99.33333333,77.33333333,1294340.612
6/7/18,97.55555556,76.22222222,1260019.281
6/8/18,96.77777778,75,1228847.566
6/9/18,96.55555556,76.66666667,1184191.782
6/10/18,97.55555556,77.66666667,1211151.606
6/11/18,98.44444444,78.55555556,1290860.979
6/12/18,98.22222222,79.11111111,1300436.689
6/13/18,97.55555556,77.33333333,1294771.766
6/14/18,96.22222222,75.33333333,1265826.406
6/15/18,96.44444444,75.88888889,1263024.64
6/16/18,96,76.44444444,1225117.197
6/17/18,93.44444444,74.22222222,1155159.231
6/18/18,92.11111111,75.66666667,1176705.012
6/19/18,88.22222222,74.55555556,1098200.389
6/20/18,88.33333333,75,1118842.301
6/21/18,91.33333333,75.66666667,1191596.434
6/22/18,97.88888889,77.11111111,1291574.123
6/23/18,98.22222222,77.88888889,1252313.265
6/24/18,98.44444444,79.11111111,1255260.133
6/25/18,95,78.66666667,1273302.007
6/26/18,96.66666667,78.66666667,1307468.319
6/27/18,98.44444444,77.66666667,1331300.256
6/28/18,97.66666667,77.55555556,1328569.399
6/29/18,98,77.77777778,1322017.744
6/30/18,97.77777778,78.11111111,1276184.134
7/1/18,100.2222222,77.11111111,1259444.331
7/2/18,98.88888889,76.33333333,1323665.111
7/3/18,99.66666667,75.88888889,1326941.121
7/4/18,94.55555556,75.22222222,1140557.384
7/5/18,93.77777778,74.55555556,1191820.057
7/6/18,94.55555556,74.88888889,1202349.823
7/7/18,93.22222222,74.22222222,1133565.535
7/8/18,91.55555556,73.88888889,1096714.115
7/9/18,91.55555556,75.22222222,1125186.93
7/10/18,94,74.77777778,1178994.334
7/11/18,95.88888889,75.11111111,1244845.3
7/12/18,96.88888889,75.77777778,1241335.813
7/13/18,97.22222222,76.77777778,1247115.483
7/14/18,97.77777778,77.22222222,1260677.194
7/15/18,97.88888889,78.66666667,1264957.36
7/16/18,99,77.55555556,1335165.458
7/17/18,100,76.88888889,1338496.187
7/18/18,101.6666667,78.11111111,1369346.659
7/19/18,102.4444444,79,1405994.976
7/20/18,102.5555556,78.55555556,1396121.858
7/21/18,102.2222222,77.55555556,1346186.611
7/22/18,103.3333333,77.88888889,1347934.434
7/23/18,105.1111111,77.88888889,1403367.182
7/24/18,99.66666667,79.66666667,1360139.917
7/25/18,99.44444444,76.77777778,1332564.648
7/26/18,99.77777778,76.22222222,1321864.308
7/27/18,99,76.22222222,1297982.587
7/28/18,99.77777778,77.55555556,1293289.828
7/29/18,101,78.44444444,1313564.891
7/30/18,98,77.66666667,1300716.928
7/31/18,95.22222222,75.33333333,1211610.928
8/1/18,97.33333333,72,1207977.994
8/2/18,98,72.33333333,1229959.628
8/3/18,97.88888889,73.44444444,1253937.426
8/4/18,97.11111111,74,1205894.274
8/5/18,95.11111111,76,1216610.227
8/6/18,96.66666667,75.88888889,1296530.139
8/7/18,97.77777778,77,1310217.802
8/8/18,98.22222222,78.11111111,1288866.749
8/9/18,97.11111111,75,1261586.886
8/10/18,94,76.11111111,1190315.876
8/11/18,91.88888889,75.77777778,1074362.944
8/12/18,90.77777778,75.11111111,1069590.526
8/13/18,95.33333333,76.44444444,1181291.803
8/14/18,96,76.55555556,1216047.304
8/15/18,97.66666667,77.77777778,1295687.672
8/16/18,98.77777778,78.77777778,1326197.348
8/17/18,99.55555556,77.55555556,1329535.914
8/18/18,100.2222222,77.88888889,1291002.165
8/19/18,98.88888889,77.77777778,1252191.849
8/20/18,98.22222222,78.55555556,1304679.623
8/21/18,99.33333333,77.11111111,1300424.049
8/22/18,99.77777778,76.66666667,1306655.917
8/23/18,99.66666667,76.11111111,1328875.876
8/24/18,99.66666667,77.88888889,1334705.11
8/25/18,98.77777778,78.22222222,1293521.245
8/26/18,98.77777778,78.44444444,1276868.494
8/27/18,99.22222222,77.66666667,1332841.052
8/28/18,99.22222222,79,1337871.545
8/29/18,97.22222222,77.44444444,1294596.8
8/30/18,96.77777778,75.44444444,1287502.815
8/31/18,97.22222222,75.33333333,1296607.203
9/1/18,97.33333333,75.22222222,1231273.258
9/2/18,93.66666667,75.88888889,1155703.953
9/3/18,91.22222222,74.22222222,1076056.979
9/4/18,91.77777778,75.77777778,1154065.486
9/5/18,93.33333333,76.44444444,1176109.256
9/6/18,90.77777778,75.77777778,1153515.79
9/7/18,90.66666667,74.55555556,1154263.953
9/8/18,89.11111111,75.11111111,1068762.586
9/9/18,84,73,978962.3369
9/10/18,80.77777778,71.22222222,982433.0589
9/11/18,84.11111111,71.55555556,1003459.585
9/12/18,88.22222222,73,1079242.469
9/13/18,89.33333333,73.77777778,1108504.839
9/14/18,85.77777778,73.55555556,1059624.859
9/15/18,87.33333333,74.33333333,1066252.237
9/16/18,89.66666667,73.77777778,1095048.108
9/17/18,91.88888889,74.11111111,1193501.221
9/18/18,93.11111111,75.33333333,1232282.9
9/19/18,92.33333333,74.88888889,1236445.976
9/20/18,90.77777778,76,1169565.309
9/21/18,90.55555556,76.22222222,1131442.976
9/22/18,83.44444444,71.22222222,986052.1801
9/23/18,82.77777778,67.88888889,920627.7867
9/24/18,87.66666667,70.55555556,1050549.701
9/25/18,92.11111111,74,1131268.819
9/26/18,87.22222222,69.44444444,1040850.153
9/27/18,81.11111111,66.33333333,945655.6036
9/28/18,84.22222222,66.44444444,967838.68
9/29/18,82.44444444,71,939494.0233
9/30/18,85.44444444,71.66666667,981745.2812
10/1/18,86.77777778,71.22222222,1059929.717
10/2/18,89.11111111,72.88888889,1098870.535
10/3/18,91,75.11111111,1158274.882
10/4/18,91.11111111,74.33333333,1165294.3
10/5/18,91.33333333,74.22222222,1164226.727
10/6/18,89.22222222,74.44444444,1108037.392
10/7/18,88.77777778,74.11111111,1075422.54
10/8/18,86.55555556,73.11111111,1083656.992
10/9/18,84.44444444,69.11111111,1021100.879
10/10/18,82.33333333,65.11111111,962841.4602
10/11/18,79.44444444,63.77777778,893574.2568
10/12/18,84.11111111,66.88888889,928682.1988
10/13/18,85,70.88888889,952952.3126
10/14/18,88.44444444,67.33333333,986776.9863
10/15/18,71.55555556,48.33333333,914783.5313
10/16/18,55.66666667,49.55555556,896273.4131
10/17/18,59.66666667,52.44444444,864771.225
10/18/18,63.88888889,54.44444444,843089.4311
10/19/18,70.66666667,59.77777778,843819.9169
10/20/18,73.55555556,61.66666667,797761.1674
10/21/18,71.66666667,56.88888889,772976.8416
10/22/18,67.55555556,54.22222222,812719.9245
10/23/18,66.22222222,54.77777778,816090.1268
10/24/18,64.66666667,57.11111111,830871.1702
10/25/18,70.88888889,56.33333333,824132.3177
10/26/18,77.22222222,54.44444444,828963.3775
10/27/18,83,55.22222222,818282.3748
10/28/18,84.22222222,58.55555556,840876.633
10/29/18,85,61.44444444,916628.3927
10/30/18,84.77777778,68.11111111,943719.417
10/31/18,78.66666667,60.55555556,898223.9569
11/1/18,69.55555556,51.44444444,826332.3953
11/2/18,74.66666667,47.44444444,826180.6112
11/3/18,79,53.11111111,797562.994
11/4/18,72.66666667,57.22222222,822871.9445
11/5/18,83.11111111,59.33333333,896870.8353
11/6/18,82.88888889,63.22222222,937545.184
11/7/18,80.66666667,66.22222222,955565.7536
11/8/18,70,61.33333333,881065.8747
11/9/18,64.88888889,48.55555556,867302.2051
11/10/18,54.66666667,45.11111111,880284.6426
11/11/18,58.88888889,47.55555556,853412.304
11/12/18,55.22222222,40.22222222,993368.0813
11/13/18,48,33,1153965.29
11/14/18,56.11111111,28.33333333,1123844.334
11/15/18,65.66666667,33,1011364.335
11/16/18,70.33333333,38.55555556,908740.6779
11/17/18,72.88888889,46,835099.6852
11/18/18,65.22222222,47.77777778,867876.7158
11/19/18,56.33333333,44,963321.518
11/20/18,61.33333333,42,940638.8634
11/21/18,58.55555556,42.11111111,944274.1942
11/22/18,62.55555556,47.44444444,833197.9749
11/23/18,76.11111111,52.33333333,797318.2337
11/24/18,75.66666667,48.11111111,799927.3334
